    instance #	Best UB TS Solution
10_Tao1 R1			
	1	248.00	213.00
	2	287.00	260.00
	3	240.00	216.00
	4	275.00	251.00
	5	252.00	229.00
	6	277.00	257.00
	7	288.00	267.00
	8	242.00	208.00
	9	261.00	236.00
	10	253.00	233.00
25_Tao7 R5			
	1	294.00	254.00
	2	236.00	201.20
	3	310.00	281.00
	4	326.00	282.00
	5	269.00	244.00
	6	304.00	274.00
	7	272.00	233.00
	8	242.00	226.00
	9	237.00	203.00
	10	274.00	248.14
25_Tao7 R7			
	1	257.00	231.68
	2	279.00	253.00
	3	266.00	255.00
	4	277.00	249.00
	5	272.00	243.18
	6	295.00	290.00
	7	251.25	233.00
	8	253.00	246.00
	9	297.00	270.00
	10	240.00	207.00
25_Tao7 R9			
	1	302.00	269.00
	2	206.26	201.00
	3	257.00	219.38
	4	245.00	216.00
	5	252.00	239.00
	6	244.25	219.00
	7	292.00	257.71
	8	289.82	259.00
	9	264.00	228.00
	10	258.27	230.00
25_Tao9 R1			
	1	208	205.00
	2	240	240.00
	3	225	222.00
	4	212	212.00
	5	200	200.00
	6	199	199.00
	7	227	221.00
	8	203	190.00
	9	271	271.00
	10	210	208.00
25_Tao9 R3			
	1	183	183.00
	2	189.5	189.50
	3	237	237.00
	4	240	240.00
	5	203.18	203.16
	6	213	213.00
	7	270.02	270.00
	8	206	206.00
	9	231.66	231.00
	10	232.02	231.00
25_Tao9 R5			
	1	232.9	232.00
	2	195.33	177.80
	3	233.01	233.00
	4	207.77	207.70
	5	245.8	245.80
	6	233	218.00
	7	259.02	253.00
	8	283	272.00
	9	252.38	221.00
	10	258.02	256.50
25_Tao9 R7			
	1	226.88	194.00
	2	273.87	227.54
	3	262	197.00
	4	242.35	242.30
	5	217.01	217.00
	6	183.017	183.00
	7	182.01	178.00
	8	196.18	196.16
	9	205.82	203.25
	10	240	202.54
25_Tao9 R9			
	1	263.46	263.43
	2	231.97	231.95
	3	208.12	161.77
	4	224.96	224.50
	5	205.01	205.00
	6	262	233.00
	7	235.5	213.33
	8	269.46	244.00
	9	260.94	235.92
	10	255.64	241.00
50_Tao1 R1			
	1	532.00	521.00
	2	553.00	537.00
	3	504.00	489.00
	4	553.00	540.00
	5	583.00	568.00
	6	534.00	518.00
	7	501.00	490.00
	8	487.00	480.00
	9	500.00	494.00
	10	545.00	536.00
50_Tao1 R3			
	1	507.00	497.00
	2	591.00	580.00
	3	502.00	495.00
	4	587.00	564.00
	5	516.00	503.00
	6	632.00	610.00
	7	575.00	560.00
	8	602.00	588.00
	9	656.00	643.00
	10	567.00	554.00
50_Tao1 R5			
	1	594.00	585.00
	2	535.00	529.00
	3	477.00	467.00
	4	584.00	575.00
	5	528.00	519.00
	6	580.00	569.00
	7	521.00	514.00
	8	513.00	505.00
	9	542.00	531.00
	10	524.00	517.00
50_Tao1 R7			
	1	617.00	614.00
	2	538.00	527.00
	3	570.00	563.00
	4	612.00	610.00
	5	577.00	571.00
	6	537.00	537.00
	7	551.00	546.00
	8	592.00	495.00
	9	529.00	524.00
	10	514.00	508.00
50_Tao1 R9			
	1	558.00	558.00
	2	579.00	568.00
	3	561.00	559.00
	4	471.00	469.00
	5	600.00	596.00
	6	495.00	491.00
	7	445.00	445.00
	8	601.00	599.00
	9	533.00	531.00
	10	578.00	575.00
50_Tao3 R1			
	1	576.00	558.00
	2	492.00	484.00
	3	526.00	510.00
	4	555.00	543.00
	5	436.00	425.00
	6	524.00	507.00
	7	501.00	487.00
	8	568.00	559.00
	9	557.00	542.00
	10	488.00	471.00
50_Tao3 R3			
	1	638.00	621.00
	2	495.00	470.00
	3	559.00	542.00
	4	516.00	502.00
	5	493.00	469.00
	6	519.00	502.00
	7	535.00	520.00
	8	603.00	579.00
	9	557.00	534.00
	10	488.00	474.00
50_Tao3 R5			
	1	573.00	564.00
	2	599.00	581.00
	3	495.00	483.00
	4	527.00	520.00
	5	534.00	526.00
	6	550.00	534.00
	7	516.00	491.00
	8	573.00	558.00
	9	594.00	575.00
	10	583.00	570.00
50_Tao3 R7			
	1	558.00	549.00
	2	542.00	540.00
	3	561.00	554.00
	4	531.00	526.00
	5	582.00	576.00
	6	577.00	560.00
	7	508.00	504.00
	8	680.00	669.00
	9	545.00	545.00
	10	553.00	534.00
50_Tao3 R9			
	1	491.00	477.00
	2	568.00	564.00
	3	591.00	587.00
	4	496.00	487.00
	5	482.00	473.00
	6	502.00	500.00
	7	584.00	572.00
	8	584.00	580.00
	9	532.00	525.00
	10	454.00	449.00
50_Tao5 R1			
	1	525.00	508.00
	2	505.00	480.00
	3	567.00	551.00
	4	452.00	429.00
	5	523.00	505.00
	6	503.00	483.00
	7	540.00	520.00
	8	524.00	496.00
	9	532.00	505.00
	10	512.00	492.00
50_Tao5 R3			
	1	524.00	482.00
	2	487.00	472.00
	3	524.00	494.00
	4	572.00	539.00
	5	514.00	484.00
	6	552.00	521.00
	7	549.00	518.00
	8	542.00	520.00
	9	500.00	461.00
	10	503.00	476.00
50_Tao5 R5			
	1	585.00	560.00
	2	616.00	569.00
	3	549.00	505.00
	4	575.00	548.00
	5	597.00	578.00
	6	565.00	544.00
	7	461.00	449.50
	8	551.00	530.30
	9	530.00	504.00
	10	581.00	572.00
50_Tao5 R7			
	1	552.00	535.00
	2	561.00	538.00
	3	538.00	522.00
	4	529.00	521.00
	5	481.00	462.00
	6	545.00	527.00
	7	543.00	515.00
	8	514.00	496.00
	9	548.00	539.00
	10	520.00	511.00
50_Tao5 R9			
	1	603.00	580.00
	2	495.00	467.00
	3	500.00	479.00
	4	498.00	510.00
	5	495.00	485.00
	6	498.00	478.00
	7	566.00	555.00
	8	549.00	517.00
